기관ㆍ업체명,소재지,전화번호,우대내용
전복에 굴에,대전광역시 유성구 관들3길 77-22(관평동),042-936-9979,전체품목 5% 할인
테크노이삭토스트,"대전광역시 유성구 관평2로 46, 104호(관평동, 밸리타운)",042-671-6718,5천원 이상 구매시 음료1잔 무료 제공
동신수산,대전광역시 유성구 노은동로75번길 12(노은동),042-476-9968,포인트적립 1%
ANNA Food,대전광역시 유성구 도안대로 567번길 20(봉명동),042-488-5566,일부품목 10% 할인(김밥 외 식사류)
유성장수촌,대전광역시 유성구 계룡로46번길 11(봉명동),042-822-7338,일부품목 5% 할인
암소만한우촌,대전광역시 유성구 계룡로60번길 37(봉명동),042-823-4591,일부품목 5% 할인
따뜻한 밥상,대전광역시 유성구 계룡로74번길 20(봉명동),042-822-3354,"짜글이찌개(中,大) 1000원 할인(현금 결재시)"
유성본가 소국밥,대전광역시 유성구 계룡로74번길 20(봉명동),042-824-4600,일부품목 5% 할인(국밥)
일층이야기,대전광역시 유성구 계룡로 74번길 54(봉명동),042-822-6326,전체품목 10% 할인
시금치,"대전광역시 유성구 계룡로84, 1층 112호(봉명동)",042-826-4523,일부품목 10% 할인(아메리카노 제외)
탐라돌구이,대전광역시 유성구 대학로 43(봉명동),042-823-8888,전체품목 5% 할인
디저트카페 옆집,대전광역시 유성구 봉명서로 11-16(봉명동),070-4179-0609,일부품목 5% 자체포인트 적립
커피베이 대전도안점,대전광역시 유성구 봉명서로 31-1(봉명동),042-826-1657,음료전품목 10% 할인
기린더매운갈비찜,대전광역시 유성구 봉명서로 51-10(봉명동),042-824-9778,전체품목 10% 할인
킹차이나,"대전광역시 유성구 구즉로52번길 45, 1층(송강동)",042-931-5376,전체품목 10% 할인
서일식당,대전광역시 유성구 진잠로70번길 27(원내동),042-543-7114,전체품목 10% 할인
밀밭칼국수,대전광역시 유성구 진잠로70번길 39(원내동),042-543-7033,전체품목 10% 할인
황토우렁쌈밥,대전광역시 유성구 진잠로74번길 23(원내동),042-541-3379,일부품목 5% 할인(웰빙쌈밥정식)
착한보리밥,대전광역시 유성구 진잠로74번길 29(원내동),042-542-7002,전체품목 5% 할인
삼보식당,대전광역시 유성구 진잠로74번길 30(원내동),042-544-8142,10% 할인 (백반제외)
채울,대전광역시 유성구 진잠로78번길 48(원내동),042-542-5533,전체품목 5%할인
김밥세상,대전광역시 유성구 진잠로78번길 64(원내동),042-545-1008,일부품목 5% 할인(김밥)
카페 커피꽃,대전광역시 유성구 원내로 11(원내동),,전체품목 15% 자체포인트 적립
정식당,대전광역시 유성구 유성대로646번길 52(구암동),042-822-0745,일부품목 5% 할인
사람사랑분식,대전광역시 유성구 월드컵대로275번길 59(구암동),042-822-4742,일부품목 10% 할인
장동묵집,대전광역시 유성구 신성로 51(하기동),042-864-2947,전체품목 10% 할인
고바우냉면,대전광역시 유성구 송림로 19번길 23(하기동),042-825-5208,음료 제공
장수순대,대전광역시 유성구 대정남로 16(대정동),042-584-9494,전체품목 5% 할인
꿀돼지 돌판구이,대전광역시 유성구 어은로 51번길 58(어은동),042-862-7753,전체품목 10% 할인(현금결제)
꿈꾸는 돈우,대전광역시 유성구 전민로10번길 40(전민동),042-863-4494,일부품목 10% 할인(현금/주류제외)
해원횟집,"대전광역시 유성구 전민로 71 (전민동, 삼성푸른A상가)",042-862-1119,일부품목 10% 할인(현금/점심특선제외)
오리사냥,대전광역시 유성구 유성대로 1679번길 8-10(전민동),042-862-5289,전체품목 10% 할인(현금)
낭만순두부 원내점,대전광역시 유성구 진잠로66번길 29,042-545-5828,전품목 20% 할인
김밥천국 구암점,대전광역시 유성구 월드컵대로 275번길 64,042-823-1117,김밥제외 식사류 5% 할인
카페인중독,대전광역시 유성구 유성대로694번길 122,042-822-6259,커피&음료 10%할인
본죽,"대전광역시 유성구 송림로 52, 105호",042-825-6282,배즙증정
박사부대찌개,대전광역시 유성구 신성동 158-8,042-861-0802,음료제공
전주순대,대전광역시 유성구 신성로 83번길 12,042-861-5858,음료제공
유성갈비  관평점,"대전광역시 유성구 관들2길 8-14, 1층(관평동)",042-931-3511,전체품목 5% 할인
봉자네김밥&커피,대전광역시 유성구 지족로 368,042-824-5525,음료 제공(홀방문고객에한함)
국영수떡볶이,대전광역시 대전광역시 유성구 전민로26번길 1층,042-331-9825,포인트적립 3%
해피리아,대전광역시 유성구 진잠로 149번길 37(교촌동),042-542-9333,일부품목 5% 할인
현실맘바른찬,대전광역시 유성구 진잠로 78번길 55,042-545-7389,전체품목 10% 할인
사까나야,"대전광역시 유성구 신성로 61번안길 31, 1층 , (신성동,161-3)",042-861-7892,음료제공
홍도야,대전광역시 유성구 신성로 61번안길 138-1,042-863-6070,음료제공
제주생도야지촌,대전광역시 대덕구 동심1길 143(대화동),042-622-7266,전체품목 5% 할인
처갓집양념치킨,대전광역시 대덕구 동심1길 172(대화동),042-633-5592,전체품목 5% 할인
식풍경감자탕,대전광역시 대덕구 동심5길 3(대화동),042-627-7288,전체품목 5% 할인
슈가레인,대전광역시 대덕구 대화15길 15(대화동),042-623-7410,전체품목 5%
우리식당,대전광역시 대덕구 대화15길 118(대화동),042-634-3716,일부품목 5% 할인(백반 제외)
일월칼국수,대전광역시 대덕구 대화로 33(대화동),042-621-9232,전체품목 5% 할인
국가대표,"대전광역시 대덕구 대화로 49(대화동, 1층)",042-634-9475,전체품목 10% 할인
등나무식당,"대전광역시 대덕구 대화로 53(대화동, 대화아파트 상가내)",042-633-6565,전체품목 10% 할인
왕손곱창,대전광역시 대덕구 대화로 69(대화동),042-623-5928,전체품목 5% 할인
공주칼국수 쭈꾸미구이,대전광역시 대덕구 대화로 83(대화동),042-627-2009,전체품목 5%
영광축산물,대전광역시 대덕구 생산5길 32(대화동),042-628-1009,전체품목 10%(카드 5%)
김밥나라식당,대전광역시 대덕구 덕암로 262(덕암동),042-935-5353,전체품목 5% 할인
엄지식당,대전광역시 대덕구 덕암로 193(덕암동),042-931-4527,전체품목 5% 할인
신탄면옥,대전광역시 대덕구 덕암북로104번길 74(덕암동),042-935-8288,일부품목 5%할인(주류제외)
을미기식당,대전광역시 대덕구 대덕대로 1454번길 94(목상동),042-932-7797,전체품목 10% 할인
꼴까닭바베큐치킨,대전광역시 대덕구 대덕대로 1470번길 27(목상동),042-932-0992,전체품목 5% 할인
나래원식당,대전광역시 대덕구 비래동로16번길13(비래동),042-252-0838,전체품목 15% 할인
명가네보쌈칼국수,대전광역시 대덕구 비래동로 30(비래동),042-633-7633,전체품묵 5% 할인
두부명가,대전광역시 대덕구 비래서로 33(비래동),042-673-8889,일부품목 5% 할인(백반)
왕릉숯불갈비,대전광역시 대덕구 비래서로 89(비래동),042-625-4105,전체품목 5% 할인
김밥나라,대전광역시 대덕구 신탄진로 213(신대동),042-626-6252,전체품목 10% 할인
행복한 양푼이,대전광역시 대덕구 신탄진로796번길 8(신탄진동),042-933-2770,전체품목 10% 할인
부추해물칼국수,대전광역시 대덕구 신탄진로804번길 31(신탄진동),042-934-5656,전체품목 10% 할인(현금결제시)
강씨네도야지,대전광역시 대덕구 신탄진로834번길 25(신탄진동),042-936-4018,전체품목 5% 할인
남현맛고을,대전광역시 대덕구 신탄진로 843-1(신탄진동),042-932-0666,전체품목 5% 할인
단골숯불갈비,대전광역시 대덕구 신탄진동로7번안길 11(신탄진동),042-933-3803,전체품목 5% 할인
거훈식당,대전광역시 대덕구 신탄진동로7번길 60(신탄진동),042-932-2359,전체품목 5% 할인(4인기준)
콩마을,대전광역시 대덕구 신탄진동로23번길 31(신탄진로),042-931-2115,전체품목 5% 할인
정가네장수촌,대전광역시 대덕구 신탄진동로 25(신탄진동),042-935-2277,전체품목 5% 할인
구미횟집,대전광역시 대덕구 신탄진동로 60(신탄진동),042-932-5912,일부품목 5% 할인
미락원,대전광역시 대덕구 신탄진북로32번길 7-22(신탄진동),042-932-6625,"일부품목 5% 할인(아구찜, 해물찜 3인 이상 주문시)"
탄불이 연탄불고기쌈밥,대전광역시 대덕구 대청로 9(신탄진동),042-933-6069,전체품목 5% 할인
꼬기조아,대전광역시 대덕구 중리로75번길 15(중리동),042-639-6512,전체품목 5% 할인
만나숯불구이,대전광역시 대덕구 중리로 75번길 20(중리동),042-631-3392,일부품목 5% 할인
대복큰손,대전광역시 대덕구 중리남로 26(중리동),042-623-3363,전체품목 5% 할인
양평칼국수,대전광역시 대덕구 중리남로 28번길 1(중리동),042-635-1121,일부품목 10%할인
동래아구찜,대전광역시 대덕구 중리남로34-1(중리동),042-634-9040,전체품목 5% 할인
제주똥도야지,대전광역시 대덕구 중리남로 41-1(중리동),042-632-3949,일부품목 10% 할인
맛대맛,대전광역시 대덕구 중리남로50-1(중리동),070-4300-9284,전체품목 5% 할인
진미정식,대전광역시 대덕구 중리동로 17번길 50(중리동),042-623-8810,일부품목 5% 할인
두루감자탕&매운등갈비찜,대전광역시 대덕구 한밭대로1129번길 144(중리동),042-626-2356,전체품목 5% 할인
지리산왕족발,대전광역시 대덕구 중리로26번길 24(중리동),042-626-4846,전체품목 5% 할인
우은진 돈까스,대전광역시 대덕구 계족산로5번안길 35(법동),042-632-3717,전체품목 15%할인
남원추어탕,대전광역시 대덕구 계족산로 5번길 96(법동),042-637-8873,전체품목 5% 할인
실미도,대전광역시 대덕구 계족산로5번길97(법동),042-621-9238,3만원이상 현금구매시 5%할인
맛보리감자탕,대전광역시 대덕구 계족산로5번길106(법동),042-623-4286,5만원이상 현금구매시 5%할인
수원숯불갈비,대전광역시 대덕구 계족산로 5번길 108(법동),042-631-5588,전체품목 5% 할인
황토맨발식당,대전광역시 대덕구 계족산로17번길10(법동),042-636-5578,전체품목 5% 할인
산득식당,대전광역시 대덕구 계족산로17번길 104(법동),042-632-3050,고기류 5% 할인
총각네,대전광역시 대덕구 계족로 667-21(법동),042-624-2324,전체품목 10% 할인
청운반점,대전광역시 대덕구 오정로76번길 2(오정동),042-633-4543,일부품목 5% 할인
굴돌밥식당,대전광역시 대덕구 오정로78번길 48(오정동),042-673-5689,전체품목 10% 할인
와글와글삼겹살,대전광역시 대덕구 한밭대로972번길 97(오정동),042-633-9708,전체품목 5% 할인
오부자 강릉집,대전광역시 대덕구 한밭대로1006번길 74(오정동),042-626-1888,일부품목 5% 할인
왕궁바지락 손칼국수,대전광역시 대덕구 대전로1019번길 37(오정동),042-673-2242,전체품목 5% 할인
태화반점,대전광역시 대덕구 대전로1033번길 42(오정동),042-632-7964,일부품목 5% 할인
청운반점,대전광역시 대덕구 대전로 1395(읍내동),042-625-7812,일부품목 5% 할인
마을손두부,대전광역시 대덕구 대전로 1354(읍내동),042-625-3730,전체품목 5% 할인
이 가 촌,대전광역시 대덕구 아리랑로 141(읍내동),042-631-3900,전체품목 5% 할인
김밥나라,대전광역시 대덕구 대전로 1358(읍내동),042-636-2548,5% 할인(단체주문 제외)
유림가든,대전광역시 대덕구 대전로1392번길 7-4(읍내동),042-632-7289,일부품목 5% 할인(능이오리백숙)
경일구이쌈밤,대전광역시 대덕구 아리랑로113번길 44-7(읍내동),042-623-8002,일부품목 5% 할인
호반레스토랑,대전광역시 대덕구 대청로 493-28(미호동),042-931-0815,전체품목 5% 할인
갈밭식당,대전광역시 대덕구 대청호수로 1553(갈전동),042-932-3872,일부품목 5% 할인(매운탕)
오리나라,대전광역시 대덕구 덕암로 74(상서동),042-931-5292,전체품목 5% 할인
홍콩삼겹살,대전광역시 대덕구 계족산로81번길 11(송촌동),042-628-6755,전체품목 10% 할인
순우리감자탕,대전광역시 대덕구 계족산로81번길 54 1층(송촌동),042-635-3168,전체품목 5% 할인
오정동착한감자탕,대전광역시 대덕구 오정로63번길 78-11,042-634-9075,5%할인
장모님집밥,대전광역시 대덕구 오정로78번길 27,042-622-5117,일부품목 석식 10%할인
장미식당,대전광역시 대덕구 동심1길 67,042-673-5931,전체품목 5%
김연수소국밥막국수,대전광역시 대덕구 대전로1370번길 13-14,042-634-3325,전체품목 5% 할인
또랑가추어탕,대전광역시 대덕구 대전로 1394,042-335-9508,"일부품목 10% 할인(추어돈까스,뚝배기불고기)"
다대지 식당,대전광역시 대덕구 비래서로 37,042-628-2345,전체품목 5%
양반청원삼계탕,대전광역시 대덕구 중리로 44번길 16 (중리동),042-672-7715,일부품목 5% 할인 또는 음료수 제공
전복오리누룽지백숙,대전광역시 대덕구 계족산로17번길87(법동),042-628-3406,전체품목 5%할인
이안회수산,대전광역시 대덕구 법동189-11(법동),042-628-6887,일부품목 현금 10%할인
커 피 보 카,대전광역시 대덕구 덕암동 17-10,042-933-3306,전품목 10% 할인
태능생삼겹살,대전광역시 대덕구 오정로78번길 31(오정동),042-626-0552,일부품목 5% 할인
놀부네설렁탕,대전광역시 대덕구 한밭대로1006번길 62 (오정동),042-672-1463,전체품목 5% 할인
오륙도식당,대전광역시 대덕구 대화로 35(대화동),042-634-7702,전체품목 5% 할인
베로커피숍,대전광역시 대덕구 대전로 1379(읍내동),042-335-3302,전체품목 10% 할인
인생과일,대전광역시 대덕구 선비마을로 23번길 67(송촌동),042-633-6667,일부품목 5%할인
오가네 대구왕뽈떼기,대전광역시 대덕구 법동 287-6번지(법동),042-622-5080,전품목 5%할인
그리고브런치,대전광역시 대덕구 계족로608번길5,070-4121-7278,10%할인(1만원이상결재시)
더도,대전광역시 대덕구 신탄진동로7번안길 3 (신탄진동),042-933-3685,일부 품목 10% 할인(식사에 한함)
장성김밥,대전광역시 대덕구 비래서로 23,042-639-8870,전체품목 10%할인
